engine_id,d,n_points,adf_stat,adf_p,adf_stationary,kpss_stat,kpss_p,kpss_stationary
54,1,191,-10.536813877547653,8.857342062839726e-19,True,0.34385553325299134,0.1,True
55,1,273,-8.545166516729013,9.546602554286737e-14,True,0.07013479986439862,0.1,True
56,1,135,-8.370132111917432,2.676121539987339e-13,True,0.40782304233002226,0.07378317140947317,True
57,1,145,-7.151238316381198,3.1371719322185346e-10,True,0.37526509337259856,0.08781677009801786,True
58,1,229,-10.19854318981463,6.05545882957671e-18,True,0.31434149847535997,0.1,True
59,1,170,-7.237897511777125,1.9180652936220534e-10,True,0.4559116899872547,0.05305530603997644,True
60,1,183,-3.8108915726149317,0.0027978252024302343,True,0.4239852711447709,0.06681669347208151,True
61,1,178,-10.084884392179529,1.1624357851841887e-17,True,0.3044221525761514,0.1,True
62,1,172,-7.463454208226245,5.279390244034954e-11,True,0.31964983914102696,0.1,True
63,1,281,-8.695391869912015,3.9376852658738025e-14,True,0.33054172992992686,0.1,True
67,1,197,-8.612597174492201,6.415656146951078e-14,True,0.25007079588298875,0.1,True
68,1,360,-12.598830136198405,1.7544296351577545e-23,True,0.39461664610329156,0.07947558357616744,True
69,1,135,-4.671979228447672,9.496612729803805e-05,True,0.24466965652913322,0.1,True
70,1,206,-7.469917390280839,5.086840798932891e-11,True,0.2913546020188579,0.1,True
71,1,211,-8.590353656715696,7.314524759658838e-14,True,0.3665822396450126,0.09155937946335664,True
72,1,211,-9.952185272643806,2.4978039412539724e-17,True,0.26789415076277434,0.1,True
73,1,164,-7.783369206370032,8.302939493256659e-12,True,0.2429120445726962,0.1,True
74,1,227,-8.169942678416758,8.677107689895949e-13,True,0.3291065895523772,0.1,True
75,1,208,-9.242494249428752,1.5688643930264891e-15,True,0.18558656170149176,0.1,True
76,1,152,-11.277229743490608,1.486213619183357e-20,True,0.38606571927544986,0.083161327898513,True
78,1,197,-8.10876523578222,1.242126388874476e-12,True,0.37505098438039547,0.08790905845672609,True
79,1,183,-11.14270586109163,3.0798078517244376e-20,True,0.27254359053239174,0.1,True
80,1,238,-9.248029726780537,1.5186534751643786e-15,True,0.44671624754031714,0.05701885881882883,True
81,1,212,-9.004017512521536,6.383583478615339e-15,True,0.3436493325640554,0.1,True
82,1,291,-9.42539447487107,5.363781609305141e-16,True,0.4302954562680164,0.06409678609137225,True
83,1,265,-13.43776606165244,3.8991282124774715e-25,True,0.4999999999999881,0.04166666666666934,False
84,1,186,-9.325911969308713,9.612222139098412e-16,True,0.34981527933091805,0.0987865175297767,True
